sale_id,product_id,product_name,category,price,stock_qty,customer_id,first_name,last_name,email,phone,sale_date,quantity,unit_price,total_amount
1,prod001,Widget A,Gadgets,10.00,100,cust001,Alice,Smith,alice@example.com,555-0101,2023-01-05,3,10.00,30.00
2,prod003,Gizmo X,Accessories,7.25,200,cust002,Bob,Johnson,bob@example.com,555-0102,2023-01-06,5,7.25,36.25
3,prod002,Widget B,Gadgets,15.50,80,cust003,Carol,Williams,carol@example.com,555-0103,2023-01-07,2,15.50,31.00
4,prod004,Gizmo Y,Accessories,9.50,150,cust004,David,Brown,david@example.com,555-0104,2023-01-08,10,9.50,95.00
5,prod001,Widget A,Gadgets,10.00,100,cust005,Eve,Davis,eve@example.com,555-0105,2023-01-09,1,10.00,10.00
6,prod005,Device Z,Electronics,120.00,30,cust001,Alice,Smith,alice@example.com,555-0101,2023-01-10,1,120.00,120.00
7,prod004,Gizmo Y,Accessories,9.50,150,cust002,Bob,Johnson,bob@example.com,555-0102,2023-01-11,2,9.50,19.00
8,prod003,Gizmo X,Accessories,7.25,200,cust003,Carol,Williams,carol@example.com,555-0103,2023-01-12,8,7.25,58.00
9,prod002,Widget B,Gadgets,15.50,80,cust004,David,Brown,david@example.com,555-0104,2023-01-13,4,15.50,62.00
10,prod001,Widget A,Gadgets,10.00,100,cust002,Bob,Johnson,bob@example.com,555-0102,2023-01-14,6,10.00,60.00
11,prod003,Gizmo X,Accessories,7.25,200,cust005,Eve,Davis,eve@example.com,555-0105,2023-01-15,3,7.25,21.75
12,prod005,Device Z,Electronics,120.00,30,cust003,Carol,Williams,carol@example.com,555-0103,2023-01-16,2,120.00,240.00
13,prod002,Widget B,Gadgets,15.50,80,cust001,Alice,Smith,alice@example.com,555-0101,2023-01-17,1,15.50,15.50
14,prod004,Gizmo Y,Accessories,9.50,150,cust005,Eve,Davis,eve@example.com,555-0105,2023-01-18,5,9.50,47.50
15,prod001,Widget A,Gadgets,10.00,100,cust003,Carol,Williams,carol@example.com,555-0103,2023-01-19,4,10.00,40.00
16,prod003,Gizmo X,Accessories,7.25,200,cust001,Alice,Smith,alice@example.com,555-0101,2023-01-20,7,7.25,50.75
17,prod002,Widget B,Gadgets,15.50,80,cust004,David,Brown,david@example.com,555-0104,2023-01-21,3,15.50,46.50
18,prod004,Gizmo Y,Accessories,9.50,150,cust002,Bob,Johnson,bob@example.com,555-0102,2023-01-22,6,9.50,57.00
19,prod005,Device Z,Electronics,120.00,30,cust005,Eve,Davis,eve@example.com,555-0105,2023-01-23,1,120.00,120.00
20,prod003,Gizmo X,Accessories,7.25,200,cust004,David,Brown,david@example.com,555-0104,2023-01-24,9,7.25,65.25
